CAMIS,DBA,AIRPORT,BUILDING,CUISINE_DESCRIPTION,INSPECTION_DATE,ACTION,VIOLATION_CODE,VIOLATION_DESCRIPTION,CRITICAL_FLAG,SCORE,GRADE,GRADE_DATE,RECORD_DATE,INSPECTION_TYPE
50037823,BAI DAR CAFE,ABI,6810,Mediterranean,9/6/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,9/6/2016,8/28/2017,Cycle Inspection / Re-inspection
50045365,HELEN'S KITCHEN,ABI,188,African,5/5/2016,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,2,A,5/5/2016,8/28/2017,Pre-permit (Operational) / Re-inspection
41491940,MALAPARTE,ABI,753,Italian,8/14/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,8/14/2015,8/28/2017,Cycle Inspection / Initial Inspection
50005796,BURGER KING,ABI,3310,Hamburgers,10/31/2016,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,6,A,10/31/2016,8/28/2017,Cycle Inspection / Initial Inspection
41482939,NUEVO SABOR RESTAURANT,ABI,4032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/30/2015,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,9,A,3/30/2015,8/28/2017,Cycle Inspection / Re-inspection
41632985,MCDONALD'S,ABI,1656,American,4/25/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,4/25/2017,8/28/2017,Cycle Inspection / Re-inspection
41377382,MADDY'S,ABI,36A,Pizza,7/1/2015,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,6,A,7/1/2015,8/28/2017,Cycle Inspection / Initial Inspection
41305419,ST. BEST JERK SPOT,ABI,11231,Caribbean,6/10/2015,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,3,A,6/10/2015,8/28/2017,Cycle Inspection / Initial Inspection
50015663,WAN CHAI SEAFOOD RESTAURANT,ABI,13511,Chinese,10/25/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,10/25/2016,8/28/2017,Cycle Inspection / Initial Inspection
41453046,THE ORIGINAL DREAM CAFE COMIDA LATINA,ABI,239,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/14/2016,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,12,A,6/14/2016,8/28/2017,Cycle Inspection / Initial Inspection
40384340,FRIEND OF A FARMER,ABI,77,American,10/1/2015,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,12,A,10/1/2015,8/28/2017,Cycle Inspection / Re-inspection
41657557,SAM LEE KITCHEN,ABI,2108,Chinese,11/18/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,11/18/2015,8/28/2017,Cycle Inspection / Re-inspection
41711191,WONG'S KITCHEN,ABI,1525,Chinese,11/10/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,11/10/2015,8/28/2017,Cycle Inspection / Initial Inspection
41616914,FORTUNE HOUSE,ABI,82,Chinese/Japanese,6/16/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,6/16/2014,8/28/2017,Cycle Inspection / Re-inspection
41541676,SKY ICE,ABI,63,Thai,4/6/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,8,A,4/6/2015,8/28/2017,Cycle Inspection / Re-inspection
41073604,BIG BOOTY BREAD,ABI,261,Bakery,3/9/2015,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,9,A,3/9/2015,8/28/2017,Cycle Inspection / Initial Inspection
40512610,WHITE CASTLE,ABI,1831,Hamburgers,11/13/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,11/13/2013,8/28/2017,Cycle Inspection / Initial Inspection
40401454,PARIS GOURMET DELI,ABI,4911,American,6/18/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,A,6/18/2014,8/28/2017,Cycle Inspection / Re-inspection
41652427,IMMACULEE BAKERY & RESTAURANT,ABI,1227,Creole,10/21/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,25,B,10/21/2013,8/28/2017,Cycle Inspection / Re-inspection
41632480,KENNEDY FRIED CHICKEN,ABI,3534,American,3/30/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,3/30/2017,8/28/2017,Cycle Inspection / Initial Inspection
41529712,FORK & SPOON,ABI,7,Delicatessen,9/10/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,33,C,9/10/2015,8/28/2017,Cycle Inspection / Re-inspection
41678706,TITOS EMPANADAS Y MAS,ABI,1221,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/25/2015,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,26,B,9/25/2015,8/28/2017,Cycle Inspection / Re-inspection
40565973,BAR VIRAGE,ABI,118,American,9/6/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,B,9/6/2016,8/28/2017,Cycle Inspection / Re-inspection
40381420,VILLAGE YOKOCHO,ABI,6,Japanese,1/24/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,1/24/2017,8/28/2017,Cycle Inspection / Re-inspection
41647870,POST NO BILLS,ABI,253,American,10/25/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,10/25/2016,8/28/2017,Cycle Inspection / Initial Inspection
40944982,NEW GOOD TASTE CHINESE RESTAURANT,ABI,3371,Chinese,9/30/2015,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,28,C,9/30/2015,8/28/2017,Cycle Inspection / Re-inspection
50052274,RICHARD'S DINER & CATERING III,ABI,171,Caribbean,12/21/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,12/21/2016,8/28/2017,Cycle Inspection / Re-inspection
41337804,JUST LORRAINE'S PLACE,ABI,2247,American,9/2/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,9/2/2015,8/28/2017,Cycle Inspection / Re-inspection
40697593,ENID'S,ABI,560,Soul Food,6/15/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,A,6/15/2015,8/28/2017,Cycle Inspection / Initial Inspection
50032742,KING TAI,ABI,1095,American,7/13/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,2,A,7/13/2017,8/28/2017,Cycle Inspection / Initial Inspection
40513133,EL CONTINENTAL RESTAURANT,ABI,672,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/24/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,10/24/2015,8/28/2017,Cycle Inspection / Initial Inspection
50017919,SMITH'S HELL'S KITCHEN BAR & RESTAURANT,ABI,701,American,4/20/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,4/20/2015,8/28/2017,Cycle Inspection / Re-inspection
40392190,FORDHAM SEAFOOD AND CHICKEN,ABI,2468,American,2/17/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,2/17/2016,8/28/2017,Cycle Inspection / Initial Inspection
41665562,GRAND NO. 1 RESTAURANT,ABI,1735,Chinese,9/28/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,15,B,9/28/2016,8/28/2017,Cycle Inspection / Re-inspection
40546676,METROPOLITAN FOOD CAFE OF BROOKLYN COLLEGE,ABI,2900,American,2/20/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,21,B,2/20/2014,8/28/2017,Cycle Inspection / Re-inspection
41468947,DUNKIN' DONUTS,ABI,730,Donuts,3/11/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,3/11/2015,8/28/2017,Cycle Inspection / Initial Inspection
50017157,EPICERIE BOULOUD,ABI,1,Bakery,4/1/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,8,A,4/1/2016,8/28/2017,Cycle Inspection / Initial Inspection
41362438,NEW YORK SPORTS GRILL,ABI,0,American,1/22/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,1/22/2015,8/28/2017,Cycle Inspection / Initial Inspection
41642333,242 CAFE BAKERY,ABI,242,Chinese,10/30/2015,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,25,B,10/30/2015,8/28/2017,Cycle Inspection / Re-inspection
41658762,JOE BROADWAYS BILLIARDS,ABI,2178,American,12/17/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,12/17/2014,8/28/2017,Cycle Inspection / Re-inspection
50035675,LEYENDA,ABI,221,Spanish,10/21/2015,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,11,A,10/21/2015,8/28/2017,Pre-permit (Operational) / Initial Inspection
41091568,POPEYES LOUISIANA KITCHEN,ABI,205,Chicken,7/15/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,7/15/2015,8/28/2017,Cycle Inspection / Initial Inspection
41719666,KOFFEECAKE CORNER,ABI,775,CafÃ©/Coffee/Tea,3/25/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,3/25/2016,8/28/2017,Cycle Inspection / Re-inspection
41623654,TOP TASTE RESTAURANT,ABI,6307,Chinese,2/16/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,2/16/2016,8/28/2017,Cycle Inspection / Re-inspection
50036175,CAFE & RESTAURANT,ABI,551,Spanish,5/3/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,5/3/2016,8/28/2017,Cycle Inspection / Re-inspection
50004403,SWALLOW CAFE,ABI,205,CafÃ©/Coffee/Tea,8/22/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,8/22/2016,8/28/2017,Cycle Inspection / Re-inspection
41494322,NIGHTINGALE9,ABI,329,Vietnamese/Cambodian/Malaysia,3/30/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,3/30/2017,8/28/2017,Cycle Inspection / Initial Inspection
41105300,"DUNKIN' DONUTS, BASKIN ROBBINS",ABI,1710,American,12/8/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,9,A,12/8/2014,8/28/2017,Cycle Inspection / Re-inspection
50043521,SUBWAY,ABI,442,Sandwiches,1/9/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,1/9/2017,8/28/2017,Cycle Inspection / Initial Inspection
40856208,ROCCO PIZZA,ABI,765,Pizza,7/27/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,7/27/2017,8/28/2017,Cycle Inspection / Initial Inspection
41659206,SIGGY'S NYC,ABI,292,American,6/26/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,6/26/2017,8/28/2017,Cycle Inspection / Re-inspection
41698319,KORONET PIZZA,ABI,4087,Pizza,6/9/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,6/9/2017,8/28/2017,Cycle Inspection / Re-inspection
50000456,AA JING,ABI,689,Asian,11/4/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14,B,11/4/2015,8/28/2017,Cycle Inspection / Re-inspection
41412907,CITY ISLAND LOBSTER HOUSE,ABI,691,Seafood,2/1/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,7,A,2/1/2017,8/28/2017,Cycle Inspection / Re-inspection
41257879,METROPOLITAN OPERA,ABI,0,American,6/13/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,6/13/2016,8/28/2017,Cycle Inspection / Re-inspection
40887371,JOHNNY PUMPS,ABI,7518,American,3/23/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5,A,3/23/2017,8/28/2017,Cycle Inspection / Re-inspection
50015826,ASTORIA PIZZA FACTORY,ABI,1946,Pizza/Italian,4/16/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,4/16/2015,8/28/2017,Cycle Inspection / Initial Inspection
50033233,KULU DESSERTS,ABI,123,Asian,4/28/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7,A,4/28/2016,8/28/2017,Cycle Inspection / Initial Inspection
41697121,THE OWL JUICE PUB,ABI,48,"Juice, Smoothies, Fruit Salads",1/12/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,B,1/12/2016,8/28/2017,Cycle Inspection / Re-inspection
50018213,ALBATROSS BAR,ABI,3619,American,3/8/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,3/8/2016,8/28/2017,Cycle Inspection / Initial Inspection
41693861,ACE HOT BAGEL & DELI,ABI,25305,Bagels/Pretzels,3/28/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,3/28/2017,8/28/2017,Cycle Inspection / Re-inspection
41349725,GLORIA'S NEXT GENERATION,ABI,987,Caribbean,12/11/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,12/11/2015,8/28/2017,Cycle Inspection / Initial Inspection
41260944,PLAZA PIAXTLA BAKERY,ABI,663,Bakery,2/18/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,2/18/2016,8/28/2017,Cycle Inspection / Re-inspection
50001969,LES CREPES & TAQUERIA,ABI,25,French,11/18/2013,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,61,C,11/18/2013,8/28/2017,Pre-permit (Operational) / Re-inspection
50001342,SMILE,ABI,3803,Chinese,10/8/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,33,C,10/8/2014,8/28/2017,Cycle Inspection / Re-inspection
40624951,CAVATAPPO GRILL,ABI,1712,Italian,11/13/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,22,B,11/13/2014,8/28/2017,Cycle Inspection / Re-inspection
40584158,GLENDALE BAKESHOP & CAFE,ABI,6925,Bakery,9/25/2014,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,9/25/2014,8/28/2017,Cycle Inspection / Initial Inspection
40554183,BARROW'S PUB,ABI,463,Irish,6/5/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/5/2017,8/28/2017,Cycle Inspection / Initial Inspection
41529617,SHOBU SUSHI & GRILL,ABI,9427,Japanese,5/11/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,5/11/2016,8/28/2017,Cycle Inspection / Initial Inspection
41689119,CITY TECH CAFE,ABI,186,American,9/16/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,9/16/2016,8/28/2017,Cycle Inspection / Initial Inspection
41335337,LOBSTER BOX,ABI,34,Seafood,3/7/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,3/7/2015,8/28/2017,Cycle Inspection / Initial Inspection
40364858,DOUGLASTON CLUB,ABI,600,American,4/2/2016,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,7,A,4/2/2016,8/28/2017,Cycle Inspection / Initial Inspection
50039816,SNOWDAYS,ABI,167,"Ice Cream, Gelato, Yogurt, Ices",12/21/2016,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11,A,12/21/2016,8/28/2017,Cycle Inspection / Re-inspection
41679211,ZEST,ABI,249,Asian,9/3/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,9/3/2014,8/28/2017,Cycle Inspection / Re-inspection
40518828,STARBUCKS,ABI,330,CafÃ©/Coffee/Tea,12/23/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,12/23/2014,8/28/2017,Cycle Inspection / Initial Inspection
41677534,TOMO JAPANESE CAFE,ABI,8914,Japanese,3/8/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,19,B,3/8/2016,8/28/2017,Cycle Inspection / Re-inspection
41672128,STARBUCKS,ABI,348,CafÃ©/Coffee/Tea,11/29/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,11/29/2016,8/28/2017,Cycle Inspection / Re-inspection
50033065,CESTRAS PIZZA III,ABI,44,Pizza/Italian,3/18/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,7,A,3/18/2015,8/28/2017,Pre-permit (Operational) / Initial Inspection
41263773,VILLAGE DINER,ABI,21812,American,1/26/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10,A,1/26/2015,8/28/2017,Cycle Inspection / Initial Inspection
41616416,ISLAND CHOIZ RESTAURANT,ABI,1792,Caribbean,8/8/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,8/8/2016,8/28/2017,Cycle Inspection / Initial Inspection
41182162,ZOMBIE HUT,ABI,273,American,10/26/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,10/26/2016,8/28/2017,Cycle Inspection / Initial Inspection
50018155,NO. 1 KITCHEN,ABI,839,Chinese,8/26/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,8/26/2016,8/28/2017,Cycle Inspection / Re-inspection
40816235,"DUNKIN' DONUTS, BASKIN ROBBINS",ABI,14617,American,1/8/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,1/8/2016,8/28/2017,Cycle Inspection / Initial Inspection
41693250,YEAH SHANGHAI DELUXE,ABI,50,Chinese,6/18/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,B,6/18/2014,8/28/2017,Cycle Inspection / Re-inspection
40941945,EUROPAN CAFE,ABI,135,Sandwiches/Salads/Mixed Buffet,1/27/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,11,A,1/27/2016,8/28/2017,Cycle Inspection / Re-inspection
50000529,TU AREPA PIZZA CAFE,ABI,10022,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/27/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,8,A,8/27/2015,8/28/2017,Cycle Inspection / Re-inspection
40672460,HANA SUSHI,ABI,211,Japanese,11/16/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,11/16/2015,8/28/2017,Cycle Inspection / Initial Inspection
40364863,SERENDIPITY 3,ABI,225,American,8/31/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,8/31/2016,8/28/2017,Cycle Inspection / Re-inspection
41706542,INASE SUSHI RESTAURANT,ABI,1586,Japanese,1/15/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,6,A,1/15/2016,8/28/2017,Cycle Inspection / Initial Inspection
50019055,C & B,ABI,178,CafÃ©/Coffee/Tea,5/2/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,5/2/2016,8/28/2017,Cycle Inspection / Initial Inspection
41136253,VICTOR'S COFFEE SHOP,ABI,21261,Spanish,5/9/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,39,C,5/9/2015,8/28/2017,Cycle Inspection / Re-inspection
40827050,SUBWAY,ABI,106,Sandwiches,9/26/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,9/26/2016,8/28/2017,Cycle Inspection / Initial Inspection
50053187,MARTHA'S COCINA,ABI,704,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/14/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2/14/2017,8/28/2017,Cycle Inspection / Re-inspection
